Customer_ID,Recency_Days,Frequency_LT,Monetary_Val_USD,Tenure_Days,CSAT,Will_Churn_90D
1376,24,14,1473.78,2806,3,0
1377,112,8,793.88,633,5,0
1378,2,15,1992.38,2769,2,0
1379,102,11,959.18,2783,4,0
1380,20,12,989.76,695,4,0
1381,8,11,1774.45,2532,5,1
1382,72,9,805.53,1194,5,0
1383,60,13,1881.84,54,2,0
1384,126,7,284.82,623,3,0
1385,80,7,909.47,1054,5,1
1386,98,14,1861.58,479,4,0
1387,20,17,2414.42,2541,1,0
1388,12,10,1008.25,1508,1,0
1389,84,17,2119.82,1496,4,0
1390,99,17,2305.95,1145,3,0
1391,280,5,44.36,3125,5,0
1392,32,16,1788.98,1770,5,0
1393,28,12,1276.12,660,1,0
1394,90,13,2016.96,1561,4,0
1395,26,9,983.61,1955,1,0
1396,161,9,964.05,3407,5,0
1397,118,17,1753.19,2763,1,0
1398,34,15,840.1,1259,3,0
1399,84,10,1073.09,1769,3,0
1400,85,8,890.4,1670,4,0
1401,7,12,1293.41,2496,3,1
1402,140,11,1185.72,386,3,1
1403,43,11,1243.75,2446,4,0
1404,106,9,1262.79,793,4,0
1405,24,15,2605.65,2376,1,0
1406,136,16,1812.13,3043,1,1
1407,30,12,862.99,2995,3,0
1408,1,12,1479.42,455,4,0
1409,142,9,1308.08,2124,4,0
1410,6,11,1768.06,141,1,0
1411,24,15,2043.83,3193,2,0
1412,180,13,1016.06,1383,2,0
1413,181,11,1477.6,1643,3,1
1414,52,12,1243.16,2791,2,0
1415,60,11,1529.5,1188,2,0
1416,36,10,1189.13,2366,1,0
1417,21,11,1553.63,1759,3,1
1418,24,8,745.63,2526,4,1
1419,67,7,644.39,2700,1,1
1420,84,15,1054.65,3492,2,0
1421,95,9,447.47,2832,2,1
1422,94,13,1379.86,2824,2,0
1423,6,16,1439.08,3092,5,1
1424,41,8,1373.47,2834,5,1
1425,4,5,868.77,3313,4,0
1426,48,15,527.47,1716,3,0
1427,35,10,1874.04,2532,5,1
1428,132,8,1394.4,680,2,1
1429,26,11,1633.22,1616,5,0
1430,8,17,3406.98,3602,2,0
1431,10,11,2221.67,2337,2,0
1432,87,13,2384.35,2903,5,1
1433,58,12,1458.07,376,3,0
1434,7,12,1442.84,155,4,0
1435,6,16,2539.56,2540,5,0
1436,73,13,1203.94,183,3,0
1437,5,16,1796.88,3387,3,0
1438,104,16,897.36,3152,1,0
1439,74,10,990.91,1865,3,1
1440,6,6,772.53,150,5,0
1441,6,10,1139.71,75,3,0
1442,259,11,1510.72,943,5,1
1443,29,9,1934.36,421,2,0
1444,28,18,2356.78,1245,1,0
1445,101,13,1186.87,2870,3,1
1446,177,15,1231.27,2221,3,0
1447,257,16,2754.85,2107,1,1
1448,84,13,1130.25,2391,2,0
1449,29,7,1009.23,906,2,0
1450,6,5,750.43,3053,5,0
1451,91,12,1820.56,1680,5,0
1452,50,11,896.37,1806,5,1
1453,34,11,1525.48,3526,4,1
1454,143,11,1370.06,3136,2,0
1455,8,9,676.54,3054,3,0
1456,41,17,1361.94,697,2,1
1457,1,9,1308.07,2365,4,0
1458,38,12,2426.13,960,3,1
1459,4,9,1241.2,944,5,0
1460,8,8,816.62,876,3,1
1461,8,15,557.54,981,4,1
1462,63,7,1090.29,2209,1,1
1463,83,10,1481.84,2321,4,0
1464,53,9,1342.83,1614,3,1
1465,197,13,1728.68,336,4,0
1466,29,16,2376.75,925,3,0
1467,21,8,748.91,1711,1,0
1468,122,5,1008.86,1060,3,1
1469,16,11,1583.62,727,5,0
1470,199,9,1824.23,3572,1,0
1471,1,14,1758.3,685,5,1
1472,211,11,692.56,243,5,0
1473,3,8,849.74,1020,4,0
1474,134,10,1296.51,2793,1,1
1475,46,13,2172.69,1062,5,1
1476,298,13,1742.45,990,2,1
1477,5,12,979.59,2850,2,0
1478,49,12,771.42,2725,2,0
1479,210,6,497.3,1127,5,0
1480,45,8,1321.99,2167,2,1
1481,60,12,1205.27,2219,2,0
1482,72,12,1235.49,2527,2,0
1483,37,12,839.51,1819,1,0
1484,60,14,2176.8,2091,2,1
1485,53,10,1689.44,1488,2,1
1486,139,12,1424.66,1589,4,0
1487,3,8,1398.82,3538,4,0
1488,20,15,2291.06,1580,2,0
1489,181,11,1488.73,314,4,1
1490,133,8,1153.26,285,1,1
1491,37,9,650.54,1890,1,1
1492,59,13,1956.56,635,1,0
1493,20,5,886.65,481,1,0
1494,13,12,1439.29,98,3,0
1495,38,10,919.54,2536,1,0
1496,27,13,1305.28,965,3,0
1497,53,13,2141.0,2462,2,0
1498,5,13,1559.79,1126,1,0
1499,220,9,923.94,696,5,0
1500,258,15,2003.1,2332,3,0
1501,72,8,1012.19,1807,2,1
1502,47,8,929.84,71,4,1
1503,23,7,1019.99,2312,2,0
1504,101,16,1027.82,2274,1,0
1505,70,9,1771.65,811,2,1
1506,11,8,808.15,3153,5,0
1507,146,12,1150.38,1866,1,0
1508,104,16,2582.34,1434,4,0
1509,180,8,1110.41,1589,2,0
1510,78,15,2275.02,385,5,0
1511,58,12,1730.59,3268,1,0
1512,33,8,233.4,1916,5,0
1513,162,10,829.22,1346,3,1
1514,121,7,861.32,1292,2,1
1515,3,5,385.52,3600,4,1
1516,2,6,721.21,2071,3,0
1517,29,19,2436.52,2651,4,1
1518,100,11,1285.41,3299,3,0
1519,262,9,854.04,562,4,1
1520,10,6,513.59,329,5,1
1521,55,10,1335.27,2814,2,1
1522,29,11,723.67,2603,3,1
1523,211,13,1752.5,1910,4,1
1524,111,8,1117.55,2,2,0
1525,110,12,1258.18,1268,5,0
1526,38,11,1475.23,3476,3,0
1527,33,9,900.22,2006,4,1
1528,20,14,1881.59,1997,2,0
1529,4,16,1360.85,825,5,0
1530,121,9,959.6,992,1,0
1531,101,11,1435.05,111,1,1
1532,491,8,916.77,1627,4,0
1533,342,12,1369.14,1822,2,0
1534,49,9,1530.21,1086,2,1
1535,88,12,983.09,1756,5,0
1536,174,13,1006.48,3328,5,1
1537,114,8,1089.49,1313,3,0
1538,18,7,460.34,2966,1,0
1539,36,16,1816.43,2365,5,0
1540,9,23,2821.33,2506,4,0
1541,185,13,1736.11,2757,1,1
1542,56,17,1491.65,2971,4,1
1543,16,11,1162.8,1061,3,1
1544,67,14,1973.31,3135,1,0
1545,58,15,1749.94,2569,4,1
1546,27,15,1872.29,2233,5,0
1547,8,14,2066.6,1624,2,0
1548,67,12,1782.55,3067,4,0
1549,45,12,1185.37,3633,5,0
1550,89,15,1770.97,2986,4,0
1551,45,15,824.33,1288,3,1
1552,115,10,1466.35,2837,4,0
1553,49,11,1353.3,1173,1,1
1554,50,14,2866.79,459,1,0
1555,126,13,1204.01,655,3,0
1556,31,9,451.6,84,4,0
1557,9,7,412.11,2732,2,0
1558,2,10,1162.96,260,4,1
1559,85,17,2419.49,107,2,0
1560,59,14,1680.56,356,1,1
1561,74,13,1922.89,2520,2,0
1562,15,11,1558.32,2541,1,1
1563,9,5,606.57,1760,1,0
1564,1,14,1556.21,636,1,0
1565,26,11,1799.76,1928,2,1
1566,54,7,556.06,2539,4,1
1567,30,6,1063.35,2556,2,0
1568,35,11,1446.06,2906,1,0
1569,141,13,912.61,601,1,0
1570,26,10,1184.92,1558,4,0
1571,44,12,1884.53,3135,3,1
1572,92,4,553.24,599,1,0
1573,31,18,2072.69,178,5,0
1574,59,11,1866.61,275,2,0
1575,119,14,2166.78,1716,5,0
1576,180,8,1178.29,1917,2,1
1577,10,6,630.66,1434,3,1
1578,157,14,1514.56,49,3,1
1579,41,9,1132.78,188,5,0
1580,18,12,1493.6,532,3,0
1581,37,10,2079.12,1972,1,0
1582,235,8,511.88,1232,5,1
1583,41,8,924.9,3490,3,0
1584,24,9,814.08,1794,1,1
1585,61,15,2231.89,1058,5,0
1586,17,17,2263.71,154,2,0
1587,5,6,831.88,3333,2,0
1588,9,15,591.08,504,4,0
1589,9,11,1482.8,486,3,0
1590,10,10,838.54,1379,2,1
1591,9,12,654.64,62,4,0
1592,62,13,2152.21,447,5,1
1593,13,10,1851.53,3012,4,0
1594,26,14,1860.98,32,2,0
1595,137,11,1516.19,1795,5,0
1596,39,13,1020.54,464,4,0
1597,67,5,471.41,798,1,1
1598,12,7,654.22,2753,1,0
1599,13,16,1965.98,1944,5,0
1600,3,11,725.54,171,1,0
1601,12,13,1931.14,38,3,0
1602,20,11,1570.76,3347,4,0
1603,12,7,843.65,2429,4,0
1604,6,5,628.55,1760,2,0
1605,8,13,2260.12,993,5,0
1606,38,11,1701.38,403,5,0
1607,14,7,1156.6,1370,3,0
1608,28,9,1409.64,3217,4,0
1609,43,15,1904.41,3425,3,0
1610,71,16,2448.9,2755,2,1
1611,3,12,1916.39,2115,1,0
1612,97,10,1379.88,3451,3,0
1613,60,13,477.68,334,2,0
1614,6,8,528.36,1372,2,0
1615,125,10,1624.63,965,1,0
1616,153,8,320.53,357,2,1
1617,4,11,908.26,3206,4,1
1618,20,11,741.81,1227,5,1
1619,99,10,287.81,5,5,0
1620,83,13,1750.02,1337,3,0
1621,13,11,1463.47,3096,4,1
1622,15,9,883.83,291,2,0
1623,28,11,1888.25,2307,2,0
1624,40,16,678.54,2700,3,0
1625,58,16,1586.6,2585,5,1
1626,28,12,1122.95,202,1,1
1627,38,10,1900.62,3297,1,0
1628,83,12,1466.91,2703,3,0
1629,3,13,1762.7,3436,2,0
1630,18,12,1373.75,2178,3,0
1631,75,18,1658.89,1931,2,0
1632,136,11,1608.87,2223,5,0
1633,44,9,1350.5,1560,3,0
1634,46,13,2499.91,2962,4,0
1635,7,10,560.12,3269,4,0
1636,36,8,573.94,2466,5,0
1637,46,11,1024.31,1132,3,0
1638,17,12,2142.66,2808,4,0
1639,19,8,717.29,1871,3,0
1640,29,14,2395.53,466,3,0
1641,2,3,177.69,340,3,0
1642,24,10,1334.51,1276,4,1
1643,15,7,860.19,2811,2,0
1644,24,14,1009.95,2979,2,1
1645,8,9,1221.2,1210,3,0
1646,133,9,927.33,1794,2,1
1647,55,12,1764.71,1184,2,0
1648,69,10,1480.31,809,5,1
1649,94,13,1401.01,1086,4,1
1650,42,13,1589.92,2364,4,0
1651,6,14,2501.51,866,4,0
1652,47,15,1334.23,1323,1,0
1653,54,6,606.42,1852,1,1
1654,83,13,1779.48,2588,2,0
1655,34,2,276.09,957,1,1
1656,9,16,739.32,2733,2,1
1657,21,10,957.19,2108,5,0
1658,28,9,892.2,2452,1,0
1659,63,11,1875.96,2032,4,0
1660,51,13,1625.62,278,1,1
1661,27,7,382.95,2200,1,0
1662,259,7,1151.98,1297,3,1
1663,56,9,1389.71,125,3,0
1664,17,4,321.59,2018,3,0
1665,7,9,1316.28,3270,2,0
1666,10,10,1121.9,2545,3,0
1667,17,8,1173.73,3369,4,0
1668,11,8,1538.68,891,4,1
1669,13,9,1128.35,150,3,1
1670,21,6,325.41,850,2,0
1671,12,10,838.34,1549,3,0
1672,137,9,941.44,784,5,1
1673,6,14,1633.02,587,3,0
1674,45,9,791.92,468,4,0
1675,32,13,1513.13,3577,2,0
1676,243,10,679.91,2028,2,1
1677,8,7,683.92,2341,5,1
1678,31,9,993.32,1573,3,0
1679,210,10,1462.87,1144,4,1
1680,121,13,581.77,3436,5,0
1681,102,13,957.78,3204,4,0
1682,18,7,753.58,1025,5,0
1683,12,8,680.48,3010,5,0
1684,67,8,1004.29,340,3,0
1685,160,8,1446.44,1035,4,1
1686,49,7,489.54,725,3,0
1687,51,10,637.44,3291,2,0
1688,20,11,1284.55,1565,2,1
1689,89,13,1210.16,2057,1,1
1690,13,5,578.27,3413,3,0
1691,24,10,1608.98,439,4,1
1692,34,15,2206.77,1909,5,0
1693,43,6,504.95,374,2,0
1694,17,7,721.86,1609,4,0
1695,8,8,503.95,3568,3,0
1696,57,10,479.66,1252,4,1
1697,21,9,416.62,1196,1,0
1698,53,11,472.83,637,3,1
1699,11,11,1029.2,783,5,0
1700,40,14,1760.77,1338,2,0
1701,46,16,2094.7,2715,4,0
1702,4,6,685.26,3433,5,0
1703,25,8,1112.67,129,4,0
1704,9,12,578.38,3525,5,0
1705,4,14,1937.9,981,5,0
1706,277,15,2052.59,1395,2,0
1707,24,7,1097.39,654,1,0
1708,100,11,1292.0,2585,2,0
1709,18,16,1986.34,212,5,0
1710,69,13,1862.31,2109,1,0
1711,86,15,604.51,2823,2,0
1712,55,11,1404.46,2166,1,0
1713,39,10,907.73,3108,4,0
1714,32,16,1638.88,2961,2,0
1715,26,15,1507.96,414,2,1
1716,160,14,1752.43,1404,2,0
1717,107,20,3168.05,3333,2,0
1718,202,13,1890.9,2406,2,1
1719,8,9,1476.29,2254,3,1
1720,79,10,1063.39,1348,2,1
1721,168,10,2033.65,3280,5,0
1722,12,13,2345.35,1409,4,0
1723,5,8,1013.89,162,3,0
1724,82,10,1002.15,3578,1,0
1725,52,9,908.28,226,1,1
1726,111,11,586.55,447,3,0
1727,10,12,1308.37,1238,2,0
1728,96,11,1204.02,1829,3,1
1729,14,11,1668.13,2165,3,0
1730,11,9,430.37,3401,1,0
1731,11,4,629.24,3066,2,0
1732,102,10,1948.28,2152,3,0
1733,66,13,1655.95,1475,5,0
1734,45,9,778.29,984,3,0
1735,27,9,1604.16,2264,4,0
1736,126,14,1591.49,2991,5,1
1737,30,9,586.96,1531,1,0
1738,102,14,1582.35,1530,1,1
1739,35,13,1200.5,2591,3,0
1740,29,11,1732.72,3093,2,1
1741,38,8,830.12,2695,2,0
1742,22,9,823.73,3397,3,0
1743,83,5,350.92,2120,3,1
1744,42,7,646.21,2539,5,1
1745,16,17,1846.97,1039,1,1
1746,138,10,1451.26,253,4,0
1747,30,11,654.08,816,5,0
1748,48,17,572.58,3197,2,0
1749,143,11,1583.62,3468,4,1
1750,59,8,731.52,3615,5,0
1751,8,5,886.67,3284,3,0
1752,169,8,708.47,835,4,1
1753,60,18,2288.22,3386,1,0
1754,25,11,1068.52,3360,4,1
